ref,url,title,date_of_incident,company,category,incident_type,severity,location,escalation_stage,sources
TMR-0011,https://themachinerecord.com/case/an-avride-delivery-robot-collided-with-a-cyclist-s-e-bike-at-the-intersection-of-0011,"An Avride delivery robot collided with a cyclist's e-bike at the intersection of Philomena Street and Berkman Drive in Austin, Texas, causing the cyclist serious personal injuries.",2024-09-10,Avride,delivery,lawsuit,serious_injury,"Austin, Texas, USA",report,1
TMR-0012,https://themachinerecord.com/case/a-starship-delivery-robot-at-arizona-state-university-abruptly-changed-direction-0012,"A Starship delivery robot at Arizona State University abruptly changed direction, knocked over a university employee, and then reversed toward the victim while she was still on the ground, injuring her.",2023-09-19,Starship Technologies,delivery,collision,minor_injury,"Tempe, Arizona, USA",follow_up,2
TMR-0013,https://themachinerecord.com/case/a-starship-food-delivery-robot-was-flipped-over-after-being-involved-in-an-accid-0013,"A Starship food delivery robot was flipped over after being involved in an accident with a car at Georgia Southern University in Statesboro, prompting students to hold a memorial vigil.",2020-09-16,Starship Technologies,delivery,other,property_damage,"Statesboro, Georgia, USA",report,1
TMR-0014,https://themachinerecord.com/case/a-starship-technologies-autonomous-delivery-robot-was-struck-by-a-ford-escape-at-0014,"A Starship Technologies autonomous delivery robot was struck by a Ford Escape at the University of Kentucky, damaging the robot's wheels, while it appeared to have the right of way.",2021-09-01,Starship Technologies,delivery,collision,property_damage,"Lexington, Kentucky, USA",report,1
TMR-0015,https://themachinerecord.com/case/a-kiwibot-delivery-robot-caught-fire-at-uc-berkeley-on-december-14-2018-and-was--0015,"A KiwiBot delivery robot caught fire at UC Berkeley on December 14, 2018, and was extinguished by a passerby and subsequently by the Berkeley Fire Department.",2018-12-14,Kiwibot,delivery,fire,property_damage,"Berkeley, California, USA",follow_up,7
TMR-0017,https://themachinerecord.com/case/co-op-delivery-robots-in-cambridge-became-confused-by-fire-hoses-and-fire-engine-0017,Co-op delivery robots in Cambridge became confused by fire hoses and fire engines blocking the road during a derelict building fire and had to be carried over the obstructions by Cambridgeshire firefighters.,2023-09-16,Starship Technologies,delivery,malfunction,no_harm,"Cambridge, UK",report,1
TMR-0018,https://themachinerecord.com/case/a-22-year-old-trainee-engineer-ramanjaneyulu-was-fatally-injured-after-being-cau-0018,"A 22-year-old trainee engineer, Ramanjaneyulu, was fatally injured after being caught in a robotic arm at NPH Industries, a Kia ancillary unit in Penukonda, Andhra Pradesh.",2026-05-08,,robot_arm,fatality,fatality,"Penukonda, Andhra Pradesh, India",report,1
TMR-0019,https://themachinerecord.com/case/a-knightscope-k5-security-robot-ran-over-a-16-month-old-toddler-a-person-at-a-sh-0019,"A Knightscope K5 security robot ran over a 16-month-old toddler at a shopping centre in Silicon Valley, leaving him with swelling to his right foot.",2016-07-14,Knightscope,service,collision,minor_injury,"Silicon Valley, California, USA",report,1
TMR-0020,https://themachinerecord.com/case/a-person-a-48-year-old-engineer-at-a-person-in-hipperholme-was-fatally-crushed-b-0020,"A 48-year-old engineer at Deco-Pak in Hipperholme was fatally crushed by a robotic arm while cleaning a sensor inside the machine's cell, dying from crush injuries to his chest.",2017-04-14,,robot_arm,injury,fatality,"Hipperholme, West Yorkshire, UK",report,1
TMR-0021,https://themachinerecord.com/case/a-tesla-engineer-at-the-austin-gigafactory-was-clawed-and-pinned-to-a-wall-by-a--0021,"A Tesla engineer at the Austin Gigafactory was clawed and pinned to a wall by a robot arm that had not fully shut down, suffering lacerations to his back and arms before falling into a chute.",2021-01-01,Tesla,robot_arm,injury,serious_injury,"Austin, Texas, USA",report,1
TMR-0022,https://themachinerecord.com/case/a-person-20-was-killed-when-a-robot-at-the-ajin-usa-plant-in-cusseta-alabama-res-0022,"A 20-year-old worker was killed when a robot at the Ajin USA plant in Cusseta, Alabama restarted abruptly while she was inside a robotic station clearing a sensor fault on a stopped assembly line.",2016-06-18,,robot_arm,fatality,fatality,"Cusseta, Alabama, USA",lawsuit,13
TMR-0023,https://themachinerecord.com/case/a-person-a-25-year-old-ford-assembly-line-worker-was-killed-instantly-when-a-rob-0023,"A 25-year-old Ford assembly line worker was killed instantly when a robot arm struck him in the head while he was gathering parts in a storage facility at a Ford casting plant in Flat Rock, Michigan.",1979-01-25,,robot_arm,fatality,fatality,"Flat Rock, Michigan, USA",report,1
TMR-0024,https://themachinerecord.com/case/a-technician-was-killed-at-a-volkswagen-assembly-plant-in-germany-after-a-robot--0024,A technician was killed at a Volkswagen assembly plant in Germany after a robot he was assembling picked him up and pushed him into a metal plate.,2015-07-01,Volkswagen,robot_arm,fatality,fatality,Germany,follow_up,16
TMR-0025,https://themachinerecord.com/case/a-22-year-old-contract-worker-installing-a-production-line-at-a-volkswagen-plant-0025,"A 22-year-old contract worker installing a production line at a Volkswagen plant in Baunatal, Germany, was grabbed and crushed against a large metal plate by a robotic arm, dying from his injuries in hospital.",2015-06-29,,robot_arm,fatality,fatality,"Baunatal, Germany",follow_up,5
TMR-0026,https://themachinerecord.com/case/a-robot-arm-crushed-a-worker-to-death-at-a-factory-in-thailand-according-to-the--0026,"A robot arm crushed a worker to death at a factory in Thailand, according to the article headline and brief text available.",2024-03-28,,robot_arm,fatality,fatality,Thailand,report,1
TMR-0027,https://themachinerecord.com/case/a-chess-robot-broke-a-seven-year-old-boy-s-finger-during-a-match-in-russia-promp-0027,"A chess robot broke a seven-year-old boy's finger during a match in Russia, prompting a roundup of worst robotic accidents in history.",2022-07-26,,robot_arm,injury,minor_injury,Russia,report,1
TMR-0028,https://themachinerecord.com/case/a-49-year-old-factory-worker-in-china-was-impaled-by-ten-steel-spikes-when-a-rob-0028,"A 49-year-old factory worker in China was impaled by ten steel spikes when a robot malfunctioned and collapsed onto him, injuring his arm and chest; surgeons removed all spikes and he was left in stable condition.",2018-12-13,,robot_arm,malfunction,serious_injury,China,report,1
TMR-0029,https://themachinerecord.com/case/during-the-opening-night-of-the-urkl-humanoid-robot-combat-tournament-in-shenzhe-0029,"During the opening night of the URKL humanoid robot combat tournament in Shenzhen, an EngineAI T800 robot named 'Matador' had its head knocked off by opponent 'White Eagle' and was knocked out of the fight.",2026-07-17,EngineAI,humanoid,other,property_damage,"Shenzhen, China",report,1
TMR-0031,https://themachinerecord.com/case/multiple-humanoid-robots-fell-down-repeatedly-during-china-s-robot-games-competi-0031,Multiple humanoid robots fell down repeatedly during China's Robot Games competition.,2025-08-18,,humanoid,malfunction,no_harm,China,report,1
TMR-0032,https://themachinerecord.com/case/a-humanoid-robot-performing-a-group-dance-with-students-at-a-university-sports-d-0032,"A humanoid robot performing a group dance with students at a university sports day opening ceremony in Xi'an, Shaanxi Province, China, malfunctioned due to signal interference from an onsite drone and lunged at and hugged a female student, who was uninjured.",2026-05-03,Unitree Robotics,humanoid,collision,no_harm,"Xi'an, China",follow_up,5
TMR-0033,https://themachinerecord.com/case/a-tesla-optimus-humanoid-robot-fell-backward-during-a-public-demonstration-at-a--0033,"A Tesla Optimus humanoid robot fell backward during a public demonstration at a Tesla store in Miami, dropping water bottles and making hand motions consistent with a teleoperation headset being removed.",2025-12-06,Tesla,humanoid,malfunction,no_harm,"Miami, Florida, USA",follow_up,9
TMR-0034,https://themachinerecord.com/case/a-service-robot-at-what-social-media-users-claimed-was-a-haidilao-hotpot-restaur-0034,"A service robot at what social media users claimed was a Haidilao hotpot restaurant in China malfunctioned, knocking plates off a counter and swinging its arms erratically while a staff member attempted to restrain it.",2026-03-17,,service,malfunction,property_damage,Haidilao hot pot restaurant,follow_up,7
TMR-0035,https://themachinerecord.com/case/russia-s-aidol-humanoid-robot-lost-balance-and-fell-on-stage-during-its-official-0035,"Russia's AIdol humanoid robot lost balance and fell on stage during its official debut at a technology event in Moscow on November 10, 2025, leaving pieces on the stage and prompting staff to hide it behind a screen.",2025-11-10,AIDOL,humanoid,malfunction,property_damage,"Moscow, Russia",follow_up,33
TMR-0036,https://themachinerecord.com/case/xpeng-s-humanoid-robot-iron-lost-its-balance-and-fell-face-first-onto-the-ground-0036,"Xpeng's humanoid robot Iron lost its balance and fell face-first onto the ground during its first public appearance at a shopping mall in Shenzhen, China.",2026-01-31,Xpeng,humanoid,malfunction,no_harm,"Shenzhen, China",report,1
TMR-0037,https://themachinerecord.com/case/a-unitree-humanoid-robot-fell-twice-while-performing-michael-jackson-s-moonwalk--0037,"A Unitree humanoid robot fell twice while performing Michael Jackson's moonwalk at an event organized by robot store Future Era in Shenzhen, China, and had to be dragged off stage by staff.",2026-05-20,Unitree Robotics,humanoid,malfunction,no_harm,"Shenzhen, China",follow_up,2
TMR-0038,https://themachinerecord.com/case/a-unitree-g1-humanoid-robot-tested-by-youtuber-cody-detwiler-spilled-food-on-the-0038,"A Unitree G1 humanoid robot tested by YouTuber Cody Detwiler spilled food on the floor while attempting to cook stir-fry, slipped on the scattered food, and fell, also causing the owner to slip.",2025-11-05,Unitree Robotics,humanoid,malfunction,no_harm,China,report,1
TMR-0040,https://themachinerecord.com/case/humanoid-robots-competed-in-china-s-inaugural-roboleague-football-tournament-in--0040,"Humanoid robots competed in China's inaugural RoBoLeague football tournament in Beijing, with some falling and requiring 'rescue' during play.",2025-07-03,,humanoid,malfunction,no_harm,"Beijing, China",report,1
TMR-0042,https://themachinerecord.com/case/at-tesla-s-fremont-california-plant-in-november-2019-a-stack-of-three-steel-skid-0042,"At Tesla's Fremont, California plant in November 2019, a stack of three steel skids on an automated conveyor system knocked a worker down and dragged him more than 15 feet, seriously injuring both his legs.",2019-11-01,Tesla,industrial,lawsuit,serious_injury,"Fremont, California, USA",lawsuit,7
TMR-0043,https://themachinerecord.com/case/a-da-vinci-surgical-robot-allegedly-burned-and-tore-a-person-s-small-intestine-d-0043,"A da Vinci surgical robot allegedly burned and tore a patient's small intestine during colon cancer surgery in Florida in September 2021, leading to additional procedures and her death in February 2022, prompting a wrongful death lawsuit against Intuitive Surgical.",2021-09-01,Intuitive Surgical,surgical,injury,fatality,"Florida, USA",lawsuit,7
TMR-0044,https://themachinerecord.com/case/a-person-71-died-on-june-26-2022-after-undergoing-robotic-surgery-to-remove-pros-0044,"A 71-year-old man died on June 26, 2022, after undergoing robotic surgery to remove prostate cancer at Lawrence + Memorial Hospital in New London on June 3, 2022, with a lawsuit alleging the hospital lacked the resources to safely perform the procedure and failed to transfer him sooner to a major medical center.",2022-06-03,,surgical,lawsuit,fatality,"New London, Connecticut, USA",report,1
TMR-0045,https://themachinerecord.com/case/a-person-a-20-year-old-worker-at-ajin-usa-metal-stamping-plant-in-chambers-count-0045,"A 20-year-old worker at Ajin USA metal stamping plant in Chambers County, Alabama, was crushed to death on June 18, 2016, when a robotic arm started up while she was inside a machinery enclosure troubleshooting a sensor fault without following required lockout/tagout procedures.",2016-06-18,,robot_arm,fatality,fatality,"Chambers County, Alabama, USA",report,1
TMR-0046,https://themachinerecord.com/case/a-private-tasmanian-hospital-is-being-sued-over-an-injury-claim-related-to-robot-0046,A private Tasmanian hospital is being sued over an injury claim related to robotic surgery.,2025-11-05,,surgical,lawsuit,serious_injury,"Tasmania, Australia",report,1
TMR-0047,https://themachinerecord.com/case/a-cat-named-sarabi-was-fatally-crushed-by-an-autoscooper-11-self-cleaning-litter-0047,"A cat named Sarabi was fatally crushed by an Autoscooper 11 self-cleaning litter box in a Bronx apartment on January 27, 2025, when the device's safety mechanism failed to stop when the animal was inside.",2025-01-27,Pet Pivot,consumer,injury,fatality,"Bronx, New York, USA",report,1
TMR-0048,https://themachinerecord.com/case/waymo-recalled-approximately-3-900-robotaxis-after-13-known-incidents-in-which-v-0048,"Waymo recalled approximately 3,900 robotaxis after 13 known incidents in which vehicles drove into closed freeway construction zones in Phoenix, Arizona, and the San Francisco Bay Area, prompting a voluntary software recall filed with NHTSA.",2026-06-18,Waymo,autonomous_vehicle,recall,no_harm,"Phoenix, Arizona, USA and San Francisco, California, USA",recall,25
TMR-0049,https://themachinerecord.com/case/waymo-announced-a-voluntary-software-recall-after-its-robotaxis-were-found-to-ha-0049,"Waymo announced a voluntary software recall after its robotaxis were found to have illegally passed stopped school buses with extended stop signs and flashing lights on multiple occasions in Atlanta and Austin, with no injuries reported.",2025-12-05,Waymo,autonomous_vehicle,recall,no_harm,"Atlanta, Georgia, USA",recall,10
TMR-0050,https://themachinerecord.com/case/wybotics-recalls-robotic-pool-vacuums-due-to-burn-and-fire-hazards-0050,Wybotics Recalls Robotic Pool Vacuums Due to Burn and Fire Hazards,2026-04-09,Wybotics,consumer,recall,no_harm,,recall,4
TMR-0051,https://themachinerecord.com/case/waymo-recalled-1-212-robotaxis-after-nhtsa-opened-a-probe-into-16-collisions-bet-0051,"Waymo recalled 1,212 robotaxis after NHTSA opened a probe into 16 collisions between 2022 and late 2024 in which Waymo vehicles struck chains, gates, and other roadway barriers, with no injuries reported.",2025-05-14,Waymo,autonomous_vehicle,recall,property_damage,USA,recall,10
TMR-0052,https://themachinerecord.com/case/zoox-issued-a-voluntary-software-recall-affecting-332-vehicles-after-its-autonom-0052,"Zoox issued a voluntary software recall affecting 332 vehicles after its autonomous driving system caused robotaxis to cross center lane lines or block crosswalks near intersections, with 62 such instances recorded between August 26 and December 5, 2025, and no collisions reported.",2025-08-26,Zoox,autonomous_vehicle,recall,no_harm,USA,recall,3
TMR-0053,https://themachinerecord.com/case/medtronic-issued-an-urgent-field-safety-notice-in-europe-for-its-hugo-surgical-r-0053,"Medtronic issued an urgent field safety notice in Europe for its Hugo surgical robot's surgeon consoles due to potential main power supply failures, with 25 complaints received including six non-serious injuries and no serious patient harm reported.",2025-06-12,Medtronic,surgical,recall,minor_injury,Europe,report,1
TMR-0054,https://themachinerecord.com/case/husqvarna-recalls-all-wheel-drive-robotic-lawnmowers-due-to-fire-hazard-recall-a-0054,Husqvarna Recalls All-Wheel Drive Robotic Lawnmowers Due to Fire Hazard (Recall Alert),2022-02-17,Husqvarna,consumer,recall,no_harm,United States,recall,1
TMR-0055,https://themachinerecord.com/case/an-unoccupied-zoox-driverless-robotaxi-struggled-to-navigate-heavy-smoke-at-a-fi-0055,"An unoccupied Zoox driverless robotaxi struggled to navigate heavy smoke at a fire scene on June 20, 2026, braking hard and coming to a stop, prompting a software recall across all 105 of the company's public-road vehicles.",2026-06-20,Zoox,autonomous_vehicle,recall,no_harm,United States,recall,22
TMR-0056,https://themachinerecord.com/case/the-fda-issued-a-warning-letter-to-globus-medical-after-finding-that-the-company-0056,"The FDA issued a warning letter to Globus Medical after finding that the company failed to properly investigate complaints of misplaced screws and delayed reporting serious injuries, including spinal cord damage to a patient, associated with its ExcelsiusGPS surgical robot.",2024-08-14,Globus Medical,surgical,other,serious_injury,,report,1
TMR-0058,https://themachinerecord.com/case/cnn-analysis-of-government-records-and-social-media-videos-found-hundreds-of-inc-0058,"CNN analysis of government records and social media videos found hundreds of incidents in which Waymo robotaxis made dangerous maneuvers including running red lights, driving into oncoming traffic and flooded roads, and coming within inches of pedestrians across multiple US cities.",2026-06-03,Waymo,autonomous_vehicle,near_miss,no_harm,,report,1
TMR-0059,https://themachinerecord.com/case/two-unoccupied-waymo-robotaxis-separately-collided-with-the-same-improperly-towe-0059,"Two unoccupied Waymo robotaxis separately collided with the same improperly towed pickup truck in Phoenix, Arizona on December 11, 2023, resulting in minor damage and no injuries, prompting Waymo's first-ever software recall.",2023-12-11,Waymo,autonomous_vehicle,collision,property_damage,"Phoenix, Arizona, USA",report,1
TMR-0060,https://themachinerecord.com/case/a-robotic-vacuum-cleaner-s-lithium-battery-caught-fire-inside-a-miami-gardens-ho-0060,"A robotic vacuum cleaner's lithium battery caught fire inside a Miami Gardens home, resulting in a 20-year-old man being airlifted to hospital with injuries.",2026-02-05,iRobot,consumer,fire,serious_injury,"Miami Gardens, Florida, USA",report,1
TMR-0061,https://themachinerecord.com/case/a-daxbot-sidewalk-robot-being-directed-through-a-crosswalk-by-a-human-operator-w-0061,"A Daxbot sidewalk robot being directed through a crosswalk by a human operator was struck and damaged by a truck making a right turn at the intersection of West Martin Luther King Jr. Boulevard and North Palace Avenue in Tyler, Texas.",2026-06-11,Daxbot,delivery,collision,property_damage,"Tyler, Texas, USA",report,1
TMR-0062,https://themachinerecord.com/case/a-delivery-robot-rammed-into-the-back-of-a-pedestrian-s-leg-in-lincoln-park-chic-0062,"A delivery robot rammed into the back of a pedestrian's leg in Lincoln Park, Chicago, prompting a petition calling for a pause on robot deliveries citing collisions with people, pets, and bicyclists.",2025-12-09,,delivery,collision,minor_injury,"Chicago, Illinois, USA",report,1
TMR-0063,https://themachinerecord.com/case/a-tesla-remote-operator-while-attempting-to-maneuver-an-autonomous-model-y-out-o-0063,"A Tesla remote operator, while attempting to maneuver an autonomous Model Y out of a dead-end residential road in Houston, drove the vehicle into a hidden tree stump at 2 mph, causing minor property damage.",2026-05-01,Tesla,autonomous_vehicle,collision,property_damage,"Houston, Texas, USA",report,1
TMR-0064,https://themachinerecord.com/case/gm-cruise-robotaxi-injury-lawsuit-sent-to-arbitration-due-to-sign-in-wrap-agreem-0064,GM Cruise robotaxi injury lawsuit sent to arbitration due to sign-in wrap agreement,2026-07-15,General Motors,autonomous_vehicle,lawsuit,serious_injury,,report,1
TMR-0065,https://themachinerecord.com/case/an-unoccupied-waymo-robotaxi-struck-a-guard-gate-barrier-arm-at-the-entrance-of--0065,An unoccupied Waymo robotaxi struck a guard gate barrier arm at the entrance of a condo community in Miami-Dade County; no injuries were reported.,2026-05-17,Waymo,autonomous_vehicle,malfunction,property_damage,"Miami-Dade County, Florida, USA",report,2
TMR-0066,https://themachinerecord.com/case/tesla-s-robotaxi-service-reported-to-have-long-waits-and-stalled-rides-during-op-0066,Tesla's robotaxi service reported to have long waits and stalled rides during operation,2026-06-10,Tesla,autonomous_vehicle,malfunction,no_harm,,report,1
TMR-0067,https://themachinerecord.com/case/waymo-announced-it-would-skip-a-public-meeting-in-austin-convened-to-address-the-0067,Waymo announced it would skip a public meeting in Austin convened to address the incident in which one of its robotaxis blocked an ambulance.,2026-04-25,Waymo,autonomous_vehicle,other,no_harm,"Austin, Texas, USA",report,1
TMR-0068,https://themachinerecord.com/case/a-system-malfunction-caused-multiple-baidu-apollo-go-driverless-robotaxis-to-sta-0068,"A system malfunction caused multiple Baidu Apollo Go driverless robotaxis to stall in the middle of roads in Wuhan, leaving passengers stranded for hours, with police confirming the incident after receiving numerous calls on Tuesday night.",2026-03-31,Baidu,delivery,malfunction,no_harm,"Wuhan, China",follow_up,7
TMR-0069,https://themachinerecord.com/case/tesla-unredacted-17-autonomous-driving-crash-reports-filed-with-nhtsa-covering-i-0069,"Tesla unredacted 17 autonomous driving crash reports filed with NHTSA covering incidents from July 2025 through March 2026 in Austin, Texas, revealing that of the crashes involving its Robotaxi fleet, 13 resulted in property damage only, 2 had no injuries, 1 involved a minor injury without hospitalization, and 1 involved a minor injury requiring hospitalization.",2026-05-15,Tesla,autonomous_vehicle,collision,minor_injury,"Austin, Texas, USA",report,1
TMR-0070,https://themachinerecord.com/case/tesla-reported-an-eighth-crash-involving-its-robotaxi-fleet-in-austin-texas-occu-0070,"Tesla reported an eighth crash involving its Robotaxi fleet in Austin, Texas, occurring in October 2025, with no injuries reported, while the vehicle was proceeding straight and came into contact with an unspecified object or party.",2025-10-01,Tesla,autonomous_vehicle,collision,no_harm,"Austin, Texas, USA",report,1
TMR-0071,https://themachinerecord.com/case/a-waymo-driverless-vehicle-blocked-a-road-for-more-than-a-minute-near-an-active--0071,"A Waymo driverless vehicle blocked a road for more than a minute near an active mass shooting scene in Austin, causing an ambulance to turn around, though Austin-Travis County EMS said it did not believe the obstruction had an impact on patient outcomes.",2026-03-02,Waymo,delivery,other,no_harm,"Austin, Texas, USA",regulator,3
TMR-0072,https://themachinerecord.com/case/waymo-robotaxis-were-involved-in-an-accident-on-their-first-day-of-operations-in-0072,Waymo robotaxis were involved in an accident on their first day of operations in Charlotte.,2026-02-27,Waymo,autonomous_vehicle,collision,property_damage,"Charlotte, North Carolina, USA",report,1
TMR-0073,https://themachinerecord.com/case/waymo-robotaxi-hit-a-child-at-a-school-drop-off-location-triggering-a-federal-sa-0073,"Waymo robotaxi hit a child at a school drop-off location, triggering a federal safety inquiry.",2026-01-29,Waymo,autonomous_vehicle,collision,minor_injury,,report,1
TMR-0074,https://themachinerecord.com/case/tesla-reported-three-accidents-involving-its-robotaxi-service-model-y-vehicles-i-0074,"Tesla reported three accidents involving its Robotaxi service Model Y vehicles in Austin, Texas, in July 2025, including one with a minor injury and two with only property damage, while redacting narrative details from NHTSA filings.",2025-09-17,Tesla,autonomous_vehicle,collision,minor_injury,"Austin, Texas, USA",report,1
TMR-0075,https://themachinerecord.com/case/a-hellobike-robotaxi-struck-two-pedestrians-on-a-street-in-zhuzhou-hunan-provinc-0075,"A Hellobike robotaxi struck two pedestrians on a street in Zhuzhou, Hunan province, China, prompting local authorities to suspend the company's robotaxi operations in the city.",2025-12-06,Hellobike,autonomous_vehicle,collision,minor_injury,"Zhuzhou, Hunan, China",report,1
TMR-0076,https://themachinerecord.com/case/a-waymo-robotaxi-stalled-during-a-wildfire-near-i-280-and-was-moved-to-safety-by-0076,A Waymo robotaxi stalled during a wildfire near I-280 and was moved to safety by the California Highway Patrol.,2026-03-25,Waymo,autonomous_vehicle,malfunction,no_harm,"I-280, California",report,1
TMR-0077,https://themachinerecord.com/case/a-waymo-robotaxi-stalled-on-a-narrow-bridge-over-the-venice-canals-during-a-holi-0077,"A Waymo robotaxi stalled on a narrow bridge over the Venice Canals during a holiday boat parade, causing a 45-minute traffic backup of at least a mile.",2025-12-14,Waymo,autonomous_vehicle,malfunction,no_harm,"Los Angeles, California, USA",report,1
TMR-0078,https://themachinerecord.com/case/during-a-widespread-power-outage-affecting-approximately-130-000-pg-e-customers--0078,"During a widespread power outage affecting approximately 130,000 PG&E customers in San Francisco, multiple Waymo robotaxis stalled in traffic and clogged roadways, prompting the company to suspend its ride-hailing service until the following day.",2025-12-20,Waymo,autonomous_vehicle,malfunction,no_harm,"San Francisco, California, USA",report,1
TMR-0079,https://themachinerecord.com/case/a-baidu-apollo-rt6-robotaxi-operated-by-hello-collided-with-two-pedestrians-on-y-0079,"A Baidu Apollo RT6 robotaxi operated by Hello collided with two pedestrians on Yanjiang Road in Zhuzhou, China, trapping one person beneath the vehicle; both a man and a woman were transported to the ICU.",2025-12-07,Baidu,autonomous_vehicle,collision,serious_injury,"Zhuzhou, China",follow_up,2
TMR-0080,https://themachinerecord.com/case/three-waymo-robotaxis-became-deadlocked-on-a-san-francisco-street-after-two-navi-0080,"Three Waymo robotaxis became deadlocked on a San Francisco street after two navigated into a dead end and a third behaved erratically, requiring a human Waymo employee to manually move each vehicle.",2025-12-12,Waymo,autonomous_vehicle,malfunction,no_harm,"San Francisco, California, USA",report,1
TMR-0081,https://themachinerecord.com/case/a-waymo-robotaxi-entered-a-drive-thru-the-wrong-way-in-los-angeles-causing-conce-0081,"A Waymo robotaxi entered a drive-thru the wrong way in Los Angeles, causing concern for a waiting passenger's family before the vehicle stopped and the passenger boarded.",2026-04-05,Waymo,autonomous_vehicle,malfunction,no_harm,"Los Angeles, California, USA",report,1
TMR-0082,https://themachinerecord.com/case/an-unoccupied-waymo-robotaxi-stopped-between-a-railroad-crossing-arm-and-the-tra-0082,"An unoccupied Waymo robotaxi stopped between a railroad crossing arm and the tracks in Texas, remaining stationary as a train passed within inches of the vehicle.",2026-03-11,Waymo,autonomous_vehicle,near_miss,no_harm,"Texas, USA",report,1
TMR-0083,https://themachinerecord.com/case/an-unoccupied-waymo-robotaxi-stopped-at-a-traffic-light-was-rear-ended-in-a-mult-0083,"An unoccupied Waymo robotaxi stopped at a traffic light was rear-ended in a multi-vehicle collision at Sixth and Harrison Streets in San Francisco, killing one person and injuring seven others.",2025-01-19,Waymo,autonomous_vehicle,collision,fatality,"San Francisco, California, USA",report,2
